studyName,"Date GMT",Island,Colony,"Breeding Pairs"
PAL9798,1997-11-23,LIT,4.0,15
PAL9798,1997-11-23,LIT,5.0,54
PAL9798,1997-11-23,LIT,6.0,86
PAL9798,1997-11-23,LIT,7.0,47
PAL9798,1997-11-23,LIT,8.0,111
PAL9798,1997-11-23,LIT,9.0,25
PAL9798,1997-11-24,HUM,1.1,3
PAL9798,1997-11-24,HUM,1.2,16
PAL9798,1997-11-24,HUM,1.3,0
PAL9798,1997-11-24,HUM,2.1,104
PAL9798,1997-11-24,HUM,2.2,48
PAL9798,1997-11-24,HUM,3.0,229
PAL9798,1997-11-24,HUM,3.1,5
PAL9798,1997-11-24,HUM,4.0,96
PAL9798,1997-11-24,HUM,5.0,226
PAL9798,1997-11-24,TOR,1.0,62
PAL9798,1997-11-24,TOR,2.0,9
PAL9798,1997-11-24,TOR,3.0,6
PAL9798,1997-11-24,TOR,4.0,143
PAL9798,1997-11-24,TOR,5.0,68
PAL9798,1997-11-24,TOR,6.0,44
PAL9798,1997-11-24,TOR,12.0,174
PAL9798,1997-11-24,TOR,13.0,167
PAL9798,1997-11-24,TOR,15.0,109
PAL9798,1997-11-24,TOR,17.0,6
PAL9798,1997-11-24,TOR,18.0,214
PAL9798,1997-11-24,TOR,19.0,399
PAL9798,1997-11-24,TOR,20.0,140
PAL9798,1997-11-24,TOR,21.0,76
PAL9798,1997-11-24,TOR,22.0,39
PAL9798,1997-11-24,TOR,23.0,187
PAL9798,1997-11-24,TOR,23.1,14
PAL9798,1997-11-26,COR,1.0,3
PAL9798,1997-11-26,COR,3.0,40
PAL9798,1997-11-26,COR,4.0,11
PAL9798,1997-11-26,COR,5.0,216
PAL9798,1997-11-26,COR,5.1,89
PAL9798,1997-11-26,COR,6.0,51
PAL9798,1997-12-26,COR,2.0,82
PAL9899,1998-12-10,HUM,1.1,0
PAL9899,1998-12-10,HUM,1.2,0
PAL9899,1998-12-10,HUM,1.3,0
PAL9899,1998-12-10,HUM,2.1,94
PAL9899,1998-12-10,HUM,2.2,53
PAL9899,1998-12-10,HUM,3.0,224
PAL9899,1998-12-10,HUM,3.1,0
PAL9899,1998-12-10,HUM,4.0,89
PAL9899,1998-12-10,HUM,5.0,194
PAL9899,1998-12-10,LIT,1.0,8
PAL9899,1998-12-10,LIT,2.0,11
PAL9899,1998-12-10,LIT,3.0,0
PAL9899,1998-12-10,LIT,4.0,12
PAL9899,1998-12-10,LIT,5.0,47
PAL9899,1998-12-10,LIT,6.0,75
PAL9899,1998-12-10,LIT,7.0,38
PAL9899,1998-12-10,LIT,8.0,110
PAL9899,1998-12-10,LIT,9.0,24
PAL9899,1998-12-10,TOR,1.0,48
PAL9899,1998-12-10,TOR,2.0,0
PAL9899,1998-12-10,TOR,3.0,5
PAL9899,1998-12-10,TOR,4.0,110
PAL9899,1998-12-10,TOR,5.0,33
PAL9899,1998-12-10,TOR,6.0,26
PAL9899,1998-12-10,TOR,12.0,167
PAL9899,1998-12-10,TOR,13.0,125
PAL9899,1998-12-10,TOR,15.0,96
PAL9899,1998-12-10,TOR,17.0,3
PAL9899,1998-12-10,TOR,18.0,176
PAL9899,1998-12-10,TOR,19.0,407
PAL9899,1998-12-10,TOR,20.0,130
PAL9899,1998-12-10,TOR,21.0,35
PAL9899,1998-12-10,TOR,22.0,14
PAL9899,1998-12-10,TOR,23.0,151
PAL9899,1998-12-10,TOR,23.1,6
PAL9899,1998-12-16,CHR,1.0,133
PAL9899,1998-12-16,CHR,2.0,33
PAL9899,1998-12-16,CHR,3.0,52
PAL9899,1998-12-16,CHR,3.1,30
PAL9899,1998-12-16,CHR,4.1,4
PAL9899,1998-12-16,CHR,4.2,4
PAL9899,1998-12-16,CHR,5.0,28
PAL9899,1998-12-16,CHR,6.0,84
PAL9899,1998-12-16,CHR,7.0,244
